교차로명,before,사고위험지수,diff,사고감소Rank,위험지수Rank,좌회전비율,필요성,위도,경도,scale_사고위험,minmax_사고위험,minmax_diff,지수,최종순위,rank
사창4,21,2465.0136,13,3,1,0.11,O,36.561536,127.541219,8.014787443,0.999999838,0.73,0.789499927,A,1
석교4,16,338.7744,17,1,2,0.24,O,36.59609,127.471779,0.907572488,0.137429869,1,0.535843441,A,2
율량교4,14,254.3184,15,2,3,0.17,O,36.624493,127.369452,0.625267963,0.103167868,0.87,0.454925541,A,3
오창4,11,93.6045,13,5,10,0.43,X,36.563265,127.510571,0.088062068,0.037969661,0.73,0.388586347,A,4
태산그린아파트4,9,123.885,12,7,6,0.48,X,36.624455,127.46395,0.189278348,0.050253815,0.67,0.372114217,A,5
선관위4,11,101.4464,13,4,8,0.16,O,36.55731,127.43162,0.114274579,0.041150953,0.73,0.363017929,A,6
내덕4,12,137.6436,12,6,5,0.29,O,36.605214,127.309905,0.235268153,0.055835386,0.67,0.355625924,A,7
죽림4,9,106.0596,10,10,7,0.12,O,36.62762,127.520007,0.129694765,0.04302243,0.53,0.269860093,A,8
터미널4,10,79.48,10,11,12,0.16,O,36.71328,127.53591,0.040849196,0.032239652,0.53,0.269007843,A,9
모충대교서편5,7,28.987,10,9,20,0.21,O,36.6070494,127.4795922,-0.127929841,0.011755717,0.53,0.264790073,A,10
개신5,10,57.76,10,8,14,0.05,O,36.641263,127.49201,-0.031752564,0.02342831,0.53,0.25404274,A,11
성모병원4,11,87.428,9,13,11,0.26,O,36.657255,127.48829,0.06741636,0.035463986,0.47,0.253458794,A,12
강내탑연3,4,0.91,9,12,46,0.25,O,36.66214,127.511986,-0.221780652,0.000365476,0.47,0.236664464,B,13
율량칸타빌4,7,6.37,9,14,31,0.16,O,36.671522,127.483253,-0.203529934,0.002580482,0.47,0.228661217,B,14
흥덕4,8,41.5008,9,15,16,0.03,O,36.526109,127.502251,-0.086100932,0.016832299,0.47,0.222074535,B,15
청남교4,9,20.5722,8,21,24,0.26,O,36.63429,127.447422,-0.15605734,0.008342012,0.4,0.209753905,B,16
오창한라비발디파크4,6,20.823,8,19,23,0.19,O,36.6155481,127.468843,-0.155219011,0.008443756,0.4,0.20279969,B,17
율량상리4,9,187.848,7,27,4,0.19,O,36.62391,127.35857,0.40308251,0.076202242,0.33,0.201791009,B,18
사천교4,5,29.1995,8,18,19,0.16,O,36.771946,127.564689,-0.127219534,0.011841924,0.4,0.201328866,B,19
강외서평3,2,1.1528,8,16,45,0.21,O,36.664676,127.493244,-0.220969064,0.000463975,0.4,0.201208789,B,20
용암농협4,5,5.999,8,20,33,0.16,O,36.64426,127.435316,-0.204770046,0.002429975,0.4,0.197093489,B,21
북의옥수3,2,2.0144,8,17,40,0.15,O,36.710814,127.429942,-0.21808906,0.000813508,0.4,0.195366078,B,22
서청주교4,7,6.37,7,24,31,0.24,O,36.631442,127.492856,-0.203529934,0.002580482,0.33,0.173661217,B,23
서문교하상도로3,3,0.2457,7,23,53,0.25,O,36.675658,127.496401,-0.224001156,9.60E-05,0.33,0.173543193,B,24
오창창리4,6,17.628,7,26,26,0.21,O,36.636148,127.484193,-0.16589869,0.007147613,0.33,0.172716426,C,25
오창지하차도4,3,1.215,7,25,43,0.16,O,36.71173,127.41914,-0.220761152,0.000489208,0.33,0.164720144,C,26
강내월곡4,6,26.0286,7,22,22,0.11,O,36.665255,127.486677,-0.137818655,0.010555557,0.33,0.164250001,C,27
죽림교4,5,8.532,6,33,29,0.3,O,36.6028,127.44037,-0.196303184,0.003457559,0.27,0.153055902,C,28
봉명4,11,63.734,6,29,13,0.19,O,36.725039,127.541909,-0.011783737,0.025851835,0.27,0.152133326,C,29
충북학생교육문화원4,5,40.613,6,35,17,0.23,O,36.606125,127.500912,-0.089068512,0.016472138,0.27,0.151912462,C,30
산업단지6,11,44.5808,6,30,15,0.19,O,36.629247,127.48162,-0.075805654,0.01808179,0.27,0.148636805,C,31
청주대교동편4,6,18.384,6,34,25,0.21,O,36.637231,127.49029,-0.163371667,0.007454306,0.27,0.145854438,C,32
제2운천교동편5,6,27.6858,6,32,21,0.19,O,36.634887,127.460178,-0.132279261,0.011227848,0.27,0.145552532,C,33
하이닉스반도체4,6,5.46,6,36,35,0.18,O,36.69625,127.474817,-0.20657172,0.002211314,0.27,0.140495091,C,34
가마육교4,4,7.8148,6,28,30,0.16,O,36.631216,127.426506,-0.198700513,0.003166606,0.27,0.138924973,C,35
오창벤처프라자4,2,0.455,6,31,52,0.13,O,36.65628,127.473221,-0.223301546,0.000180892,0.27,0.134581401,C,36
율량육교4,4,9.0648,5,44,28,0.28,O,36.628269,127.491405,-0.194522234,0.003673705,0.2,0.119653167,D,37
방서4,9,40.1472,5,40,18,0.22,O,36.64304,127.462452,-0.090625505,0.016283172,0.2,0.119327428,D,38
오동분기점4,3,1.3377,5,43,42,0.29,O,36.737604,127.45791,-0.220351013,0.000538985,0.2,0.119242543,D,39
주성4,2,2.1024,5,46,39,0.26,O,36.731941,127.449395,-0.217794909,0.000849207,0.2,0.116382143,D,40
석판분기점4,1,0.0091,5,42,57,0.22,O,36.597354,127.505572,-0.224792021,0,0.2,0.112,D,41
충북교육과학연구원4,5,1.638,5,47,41,0.18,O,36.709458,127.433438,-0.219347223,0.00066081,0.2,0.108297365,D,42
제2운천교서편4,3,0.2457,5,45,53,0.17,O,36.6127788,127.4403712,-0.224001156,9.60E-05,0.2,0.107043193,D,43
산남4,3,0.6825,5,41,50,0.08,O,36.668665,127.467913,-0.222541099,0.000273184,0.2,0.098122933,D,44
상당4,4,5.776,4,52,34,0.31,O,36.666446,127.46366,-0.205515451,0.002339509,0.13,0.090552779,D,45
장성4,6,94.716,4,56,9,0.12,O,36.575441,127.454423,0.091777392,0.038420573,0.13,0.087789258,D,46
솔밭공원4,4,13.1656,4,53,27,0.26,O,36.64647,127.422813,-0.180814808,0.005337312,0.13,0.08690179,D,47
남이외천3,1,0.0819,4,48,56,0.28,O,36.77162,127.502093,-0.224548678,2.95E-05,0.13,0.08651329,D,48
내수만남의광장5,1,0.0091,4,50,57,0.24,O,36.62597,127.489622,-0.224792021,0,0.13,0.0825,E,49
오송만수4,2,0.81,4,54,48,0.21,O,36.672476,127.49613,-0.222114915,0.000324908,0.13,0.079646209,E,50
남이초교3,1,1.1998,4,49,44,0.16,O,36.609192,127.506165,-0.22081196,0.000483042,0.13,0.074717369,E,51
오창LG화학,2,0.81,4,55,48,0.14,O,36.594628,127.486869,-0.222114915,0.000324908,0.13,0.072646209,E,52
남일고은4,1,0.0091,3,58,57,0.3,O,36.533659,127.426389,-0.224792021,0,0.07,0.0615,E,53
청주역분기점4,4,0.91,3,63,46,0.28,O,36.674266,127.483242,-0.221780652,0.000365476,0.07,0.059664464,E,54
명암타워4,1,0.0091,3,59,57,0.22,O,36.636723,127.484635,-0.224792021,0,0.07,0.0535,E,55
송천교서편4,3,3.0216,3,60,36,0.18,O,36.613667,127.332313,-0.214722371,0.001222107,0.07,0.050049948,E,56
지북4,6,2.6754,3,62,37,0.16,O,36.630124,127.333619,-0.215879587,0.001081661,0.07,0.047986748,E,57
김수녕양궁장5,3,0.2457,3,57,53,0.16,O,36.615924,127.444252,-0.224001156,9.60E-05,0.07,0.047543193,E,58
정하4,2,0.5036,3,61,51,0.15,O,36.657254,127.474893,-0.223139094,0.000200608,0.07,0.046590274,E,59
현도면사무소3,3,2.1843,2,68,38,0.13,O,36.740656,127.452498,-0.217521148,0.000882432,0,0.013397095,E,60
