교차로명,시도,시군구,도로명,기타주소,도로등급,시행청,준공연도,교차로.유형,회전교차로.유형,로터리.유형,스쿨존.내.위치여부,교차로.내.신호.여부,접근로.진입부.양보선.여부,GPS.위치정보_위도,GPS.위치정보_경도,계,신규추가,누락추가,비고,위도,경도
오송?서평?회전교차로,충청북도,청주시,청연로,오송읍?서평리?609-6,6,지자체,2008,5지,1차로형,,,,?O,36.585145,127.316051,NA,,,,36.585145,127.3161
옥산?금정빌라?앞?회전교차로,충청북도,청주시,오송가락로,옥산면?오산리?368-1,6,지자체,2005,3지,1차로형,,,,?O,36.661041,127.368796,NA,,,,36.661041,127.3688
금천?회전교차로,충청북도,청주시,쇠내로,금천동?1516,5,지자체,2009,5지,2차로형,,,,?O,36.624932,127.498816,NA,,,,36.624932,127.4988
문의파출소?앞?회전교차로,충청북도,청주시,대청호반로,문의면?미천리?14831,4,지자체,2013,4지,1차로형,,,,?O,36.513483,127.497868,NA,,,,36.513483,127.4979
내덕?회전교차로,충청북도,청주시,내덕로,내덕동?3041,5,행정안전부,2016,4지,1차로형,,,,?O,36.657287,127.484814,NA,,,,36.657287,127.4848
석곡?회전교차로,충청북도,청주시,서부로,석곡동?2829,4,지자체,2016,4지,2차로형,,,,?O,36.609769,127.424099,NA,,,,36.609769,127.4241
북이?회전교차로,충청북도,청주시,신기초정로,북이면?신대리?410,8,지자체,2016,4지,1차로형,,,,?O,36.738338,127.541538,NA,,,,36.738338,127.5415
상당산성?회전교차로,충청북도,청주시,산성로,상당구?산성동402-1,5,지자체,2018,4지,1차로형,,,,?O,36.653992,127.541759,NA,,,,36.653992,127.5418
가덕상야한계?회전교차로,충청북도,청주시,은행상야로,상당구?가덕면?상야리?74-1,8,행정안전부,2018,3지,1차로형,,,,?O,36.594886,127.564902,NA,,,,36.594886,127.5649
남이?팔봉삼거리?회전교차로,충청북도,청주시,저산척북로,서원구?남이면?사동리?130-1,군도,지자체,2019,3지,1차로형,,,,?O,36.567101,127.409093,1,1,,,36.567101,127.4091
오송?쌍청교삼거리?회전교차로,충청북도,청주시,오송가락로,흥덕구?오송읍?쌍청리?507-8,군도,자자체,2019,3지,1차로형,,,,?O,36.639975,127.347114,1,1,,,36.639975,127.3
